city,jurisdiction,route_id,line,n_stations,basis_label,basis,trains_per_hour,headway_min,published_peak_headway_min,published_offpeak_headway_min,constant_fill_share,newest_source_date,oldest_source_date,read_on,source_types,n_bands,band_ids,amap_record_ids,urls,n_urls
Beijing,Mainland China,1,1号线八通线,37,operator_timetable_departures,departures counted hour by hour on the operator's station timetables,13.16,4.6,2.0,8.571,0.0,2026-05-15,2026-05-15,2026-08-23,operator_timetable_page,37,NOTE-BEI-0373|NOTE-BEI-0374|NOTE-BEI-0375|NOTE-BEI-0376|NOTE-BEI-0377|NOTE-BEI-0378|NOTE-BEI-0379|NOTE-BEI-0380|NOTE-BEI-0381|NOTE-BEI-0382|NOTE-BEI-0383|NOTE-BEI-0384|NOTE-BEI-0385|NOTE-BEI-0386|NOTE-BEI-0387|NOTE-BEI-0388|NOTE-BEI-0389|NOTE-BEI-0390|NOTE-BEI-0391|NOTE-BEI-0392|NOTE-BEI-0393|NOTE-BEI-0394|NOTE-BEI-0395|NOTE-BEI-0396|NOTE-BEI-0397|NOTE-BEI-0398|NOTE-BEI-0399|NOTE-BEI-0400|NOTE-BEI-0401|NOTE-BEI-0402|NOTE-BEI-0403|NOTE-BEI-0404|NOTE-BEI-0405|NOTE-BEI-0406|NOTE-BEI-0407|NOTE-BEI-0408|NOTE-BEI-0409,,https://eos-beijing-2.cmecloud.cn/app-dtstatic/%E5%85%AB%E9%80%9A%E7%BA%BF-%E7%8E%AF%E7%90%83%E5%BA%A6%E5%81%87%E5%8C%BA%E7%AB%99-%E8%8B%B9%E6%9E%9C%E5%9B%AD%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg | https://eos-beijing-2.cmecloud.cn/app-dtstatic/1%E5%8F%B7%E7%BA%BF-%E8%8B%B9%E6%9E%9C%E5%9B%AD%E7%AB%99-%E7%8E%AF%E7%90%83%E5%BA%A6%E5%81%87%E5%8C%BA%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg,2
Beijing,Mainland China,2,2号线,18,inherited_from_trunk,inherited from the trunk route of the same line,10.87,5.5,3.158,8.571,0.0,2026-07-15,2026-07-15,2026-08-23,operator_timetable_page,37,NOTE-BEI-0410|NOTE-BEI-0411|NOTE-BEI-0412|NOTE-BEI-0413|NOTE-BEI-0414|NOTE-BEI-0415|NOTE-BEI-0416|NOTE-BEI-0417|NOTE-BEI-0418|NOTE-BEI-0419|NOTE-BEI-0420|NOTE-BEI-0421|NOTE-BEI-0422|NOTE-BEI-0423|NOTE-BEI-0424|NOTE-BEI-0425|NOTE-BEI-0426|NOTE-BEI-0427|NOTE-BEI-0428|NOTE-BEI-0429|NOTE-BEI-0430|NOTE-BEI-0431|NOTE-BEI-0432|NOTE-BEI-0433|NOTE-BEI-0434|NOTE-BEI-0435|NOTE-BEI-0436|NOTE-BEI-0437|NOTE-BEI-0438|NOTE-BEI-0439|NOTE-BEI-0440|NOTE-BEI-0441|NOTE-BEI-0442|NOTE-BEI-0443|NOTE-BEI-0444|NOTE-BEI-0445|NOTE-BEI-0446,,https://eos-beijing-2.cmecloud.cn/app-dtstatic/2%E5%8F%B7%E7%BA%BF-%E8%A5%BF%E7%9B%B4%E9%97%A8%E7%AB%99-%E8%BD%A6%E5%85%AC%E5%BA%84%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg | https://eos-beijing-2.cmecloud.cn/app-dtstatic/2%E5%8F%B7%E7%BA%BF-%E8%BD%A6%E5%85%AC%E5%BA%84%E7%AB%99-%E8%A5%BF%E7%9B%B4%E9%97%A8%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg,2
Beijing,Mainland China,3,2号线,18,inherited_from_trunk,inherited from the trunk route of the same line,10.87,5.5,3.158,8.571,0.0,2026-07-15,2026-07-15,2026-08-23,operator_timetable_page,37,NOTE-BEI-0410|NOTE-BEI-0411|NOTE-BEI-0412|NOTE-BEI-0413|NOTE-BEI-0414|NOTE-BEI-0415|NOTE-BEI-0416|NOTE-BEI-0417|NOTE-BEI-0418|NOTE-BEI-0419|NOTE-BEI-0420|NOTE-BEI-0421|NOTE-BEI-0422|NOTE-BEI-0423|NOTE-BEI-0424|NOTE-BEI-0425|NOTE-BEI-0426|NOTE-BEI-0427|NOTE-BEI-0428|NOTE-BEI-0429|NOTE-BEI-0430|NOTE-BEI-0431|NOTE-BEI-0432|NOTE-BEI-0433|NOTE-BEI-0434|NOTE-BEI-0435|NOTE-BEI-0436|NOTE-BEI-0437|NOTE-BEI-0438|NOTE-BEI-0439|NOTE-BEI-0440|NOTE-BEI-0441|NOTE-BEI-0442|NOTE-BEI-0443|NOTE-BEI-0444|NOTE-BEI-0445|NOTE-BEI-0446,,https://eos-beijing-2.cmecloud.cn/app-dtstatic/2%E5%8F%B7%E7%BA%BF-%E8%A5%BF%E7%9B%B4%E9%97%A8%E7%AB%99-%E8%BD%A6%E5%85%AC%E5%BA%84%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg | https://eos-beijing-2.cmecloud.cn/app-dtstatic/2%E5%8F%B7%E7%BA%BF-%E8%BD%A6%E5%85%AC%E5%BA%84%E7%AB%99-%E8%A5%BF%E7%9B%B4%E9%97%A8%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg,2
Beijing,Mainland China,4,4号线大兴线,35,operator_timetable_departures,departures counted hour by hour on the operator's station timetables,13.99,4.3,1.717,7.667,0.0,2026-05-28,2013-03-16,2026-08-23,operator_timetable_page; operator_web,37,NOTE-BEI-0019|NOTE-BEI-0484|NOTE-BEI-0485|NOTE-BEI-0486|NOTE-BEI-0487|NOTE-BEI-0488|NOTE-BEI-0489|NOTE-BEI-0490|NOTE-BEI-0491|NOTE-BEI-0492|NOTE-BEI-0493|NOTE-BEI-0494|NOTE-BEI-0495|NOTE-BEI-0496|NOTE-BEI-0497|NOTE-BEI-0498|NOTE-BEI-0499|NOTE-BEI-0500|NOTE-BEI-0501|NOTE-BEI-0503|NOTE-BEI-0504|NOTE-BEI-0505|NOTE-BEI-0506|NOTE-BEI-0507|NOTE-BEI-0508|NOTE-BEI-0509|NOTE-BEI-0510|NOTE-BEI-0511|NOTE-BEI-0512|NOTE-BEI-0513|NOTE-BEI-0514|NOTE-BEI-0515|NOTE-BEI-0516|NOTE-BEI-0517|NOTE-BEI-0518|NOTE-BEI-0519|NOTE-BEI-0520,,https://www.mtr.bj.cn/service/line/station/5d5a1958b1ea0278b8fffd7f.html | https://www.mtr.bj.cn/service/line/station/5d5a18eeb1ea0278b8fffd5d.html | https://www.mtr.bj.cn/article/5d67b7f80fa1a0bbdccc720f.html,3
Beijing,Mainland China,5,5号线,23,operator_timetable_departures,departures counted hour by hour on the operator's station timetables,13.97,4.3,2.143,8.571,0.0,2026-07-15,2026-07-15,2026-08-23,operator_timetable_page,37,NOTE-BEI-0522|NOTE-BEI-0523|NOTE-BEI-0524|NOTE-BEI-0525|NOTE-BEI-0526|NOTE-BEI-0527|NOTE-BEI-0528|NOTE-BEI-0529|NOTE-BEI-0530|NOTE-BEI-0531|NOTE-BEI-0532|NOTE-BEI-0533|NOTE-BEI-0534|NOTE-BEI-0535|NOTE-BEI-0536|NOTE-BEI-0537|NOTE-BEI-0538|NOTE-BEI-0539|NOTE-BEI-0540|NOTE-BEI-0541|NOTE-BEI-0542|NOTE-BEI-0543|NOTE-BEI-0544|NOTE-BEI-0545|NOTE-BEI-0546|NOTE-BEI-0547|NOTE-BEI-0548|NOTE-BEI-0549|NOTE-BEI-0550|NOTE-BEI-0551|NOTE-BEI-0552|NOTE-BEI-0553|NOTE-BEI-0554|NOTE-BEI-0555|NOTE-BEI-0556|NOTE-BEI-0557|NOTE-BEI-0558,,https://eos-beijing-2.cmecloud.cn/app-dtstatic/5%E5%8F%B7%E7%BA%BF-%E5%A4%A9%E9%80%9A%E8%8B%91%E5%8C%97%E7%AB%99-%E5%AE%8B%E5%AE%B6%E5%BA%84%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg | https://eos-beijing-2.cmecloud.cn/app-dtstatic/5%E5%8F%B7%E7%BA%BF-%E5%AE%8B%E5%AE%B6%E5%BA%84%E7%AB%99-%E5%A4%A9%E9%80%9A%E8%8B%91%E5%8C%97%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg,2
Beijing,Mainland China,6,7号线,30,operator_timetable_departures,departures counted hour by hour on the operator's station timetables,8.63,7.0,3.0,10.0,0.0,2026-05-20,2026-05-20,2026-08-23,operator_timetable_page,37,NOTE-BEI-0597|NOTE-BEI-0598|NOTE-BEI-0599|NOTE-BEI-0600|NOTE-BEI-0601|NOTE-BEI-0602|NOTE-BEI-0603|NOTE-BEI-0604|NOTE-BEI-0605|NOTE-BEI-0606|NOTE-BEI-0607|NOTE-BEI-0608|NOTE-BEI-0609|NOTE-BEI-0610|NOTE-BEI-0611|NOTE-BEI-0612|NOTE-BEI-0613|NOTE-BEI-0614|NOTE-BEI-0615|NOTE-BEI-0616|NOTE-BEI-0617|NOTE-BEI-0618|NOTE-BEI-0619|NOTE-BEI-0620|NOTE-BEI-0621|NOTE-BEI-0622|NOTE-BEI-0623|NOTE-BEI-0624|NOTE-BEI-0625|NOTE-BEI-0626|NOTE-BEI-0627|NOTE-BEI-0628|NOTE-BEI-0629|NOTE-BEI-0630|NOTE-BEI-0631|NOTE-BEI-0632|NOTE-BEI-0633,,https://eos-beijing-2.cmecloud.cn/app-dtstatic/7%E5%8F%B7%E7%BA%BF-%E5%8C%97%E4%BA%AC%E8%A5%BF%E7%AB%99-%E7%8E%AF%E7%90%83%E5%BA%A6%E5%81%87%E5%8C%BA%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg | https://eos-beijing-2.cmecloud.cn/app-dtstatic/7%E5%8F%B7%E7%BA%BF-%E7%8E%AF%E7%90%83%E5%BA%A6%E5%81%87%E5%8C%BA%E7%AB%99-%E5%8C%97%E4%BA%AC%E8%A5%BF%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg,2
Beijing,Mainland China,7,8号线,35,operator_timetable_departures,departures counted hour by hour on the operator's station timetables,10.82,5.5,2.0,10.0,0.0,2026-05-06,2026-04-29,2026-08-23,operator_timetable_page,37,NOTE-BEI-0634|NOTE-BEI-0635|NOTE-BEI-0636|NOTE-BEI-0637|NOTE-BEI-0638|NOTE-BEI-0639|NOTE-BEI-0640|NOTE-BEI-0641|NOTE-BEI-0642|NOTE-BEI-0643|NOTE-BEI-0644|NOTE-BEI-0645|NOTE-BEI-0646|NOTE-BEI-0647|NOTE-BEI-0648|NOTE-BEI-0649|NOTE-BEI-0650|NOTE-BEI-0651|NOTE-BEI-0652|NOTE-BEI-0653|NOTE-BEI-0654|NOTE-BEI-0655|NOTE-BEI-0656|NOTE-BEI-0657|NOTE-BEI-0658|NOTE-BEI-0659|NOTE-BEI-0660|NOTE-BEI-0661|NOTE-BEI-0662|NOTE-BEI-0663|NOTE-BEI-0664|NOTE-BEI-0665|NOTE-BEI-0666|NOTE-BEI-0667|NOTE-BEI-0668|NOTE-BEI-0669|NOTE-BEI-0670,,https://eos-beijing-2.cmecloud.cn/app-dtstatic/8%E5%8F%B7%E7%BA%BF-%E7%80%9B%E6%B5%B7%E7%AB%99-%E6%9C%B1%E8%BE%9B%E5%BA%84%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg | https://eos-beijing-2.cmecloud.cn/app-dtstatic/8%E5%8F%B7%E7%BA%BF-%E6%9C%B1%E8%BE%9B%E5%BA%84%E7%AB%99-%E7%80%9B%E6%B5%B7%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg,2
Beijing,Mainland China,8,9号线,13,operator_timetable_departures,departures counted hour by hour on the operator's station timetables,11.95,5.0,2.727,7.5,0.0,2026-06-11,2026-06-11,2026-08-23,operator_timetable_page,37,NOTE-BEI-0671|NOTE-BEI-0672|NOTE-BEI-0673|NOTE-BEI-0674|NOTE-BEI-0675|NOTE-BEI-0676|NOTE-BEI-0677|NOTE-BEI-0678|NOTE-BEI-0679|NOTE-BEI-0680|NOTE-BEI-0681|NOTE-BEI-0682|NOTE-BEI-0683|NOTE-BEI-0684|NOTE-BEI-0685|NOTE-BEI-0686|NOTE-BEI-0687|NOTE-BEI-0688|NOTE-BEI-0689|NOTE-BEI-0691|NOTE-BEI-0692|NOTE-BEI-0693|NOTE-BEI-0694|NOTE-BEI-0695|NOTE-BEI-0696|NOTE-BEI-0697|NOTE-BEI-0698|NOTE-BEI-0699|NOTE-BEI-0700|NOTE-BEI-0701|NOTE-BEI-0702|NOTE-BEI-0703|NOTE-BEI-0704|NOTE-BEI-0705|NOTE-BEI-0706|NOTE-BEI-0707|NOTE-BEI-0708,,https://eos-beijing-2.cmecloud.cn/app-dtstatic/9%E5%8F%B7%E7%BA%BF-%E5%9B%BD%E5%AE%B6%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AB%99-%E9%83%AD%E5%85%AC%E5%BA%84%E7%AB%99%E3%80%81%E9%98%8E%E6%9D%91%E4%B8%9C%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg | https://eos-beijing-2.cmecloud.cn/app-dtstatic/9%E5%8F%B7%E7%BA%BF-%E9%83%AD%E5%85%AC%E5%BA%84%E7%AB%99-%E5%9B%BD%E5%AE%B6%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg,2
Beijing,Mainland China,9,10号线,45,inherited_from_trunk,inherited from the trunk route of the same line,17.39,3.4,2.105,6.75,0.0,2026-05-27,2026-05-27,2026-08-23,operator_timetable_page,38,NOTE-BEI-0035|NOTE-BEI-0036|NOTE-BEI-0037|NOTE-BEI-0038|NOTE-BEI-0039|NOTE-BEI-0040|NOTE-BEI-0041|NOTE-BEI-0042|NOTE-BEI-0043|NOTE-BEI-0044|NOTE-BEI-0045|NOTE-BEI-0046|NOTE-BEI-0047|NOTE-BEI-0048|NOTE-BEI-0049|NOTE-BEI-0050|NOTE-BEI-0051|NOTE-BEI-0052|NOTE-BEI-0053|NOTE-BEI-0056|NOTE-BEI-0057|NOTE-BEI-0058|NOTE-BEI-0059|NOTE-BEI-0060|NOTE-BEI-0061|NOTE-BEI-0062|NOTE-BEI-0063|NOTE-BEI-0064|NOTE-BEI-0065|NOTE-BEI-0066|NOTE-BEI-0067|NOTE-BEI-0068|NOTE-BEI-0069|NOTE-BEI-0070|NOTE-BEI-0071|NOTE-BEI-0072|NOTE-BEI-0073|NOTE-BEI-0074,,https://eos-beijing-2.cmecloud.cn/app-dtstatic/10%E5%8F%B7%E7%BA%BF-%E5%B7%B4%E6%B2%9F%E7%AB%99-%E7%81%AB%E5%99%A8%E8%90%A5%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg | https://eos-beijing-2.cmecloud.cn/app-dtstatic/10%E5%8F%B7%E7%BA%BF-%E7%81%AB%E5%99%A8%E8%90%A5%E7%AB%99-%E5%B7%B4%E6%B2%9F%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg,2
Beijing,Mainland China,10,10号线,45,inherited_from_trunk,inherited from the trunk route of the same line,17.39,3.4,2.105,6.75,0.0,2026-05-27,2026-05-27,2026-08-23,operator_timetable_page,38,NOTE-BEI-0035|NOTE-BEI-0036|NOTE-BEI-0037|NOTE-BEI-0038|NOTE-BEI-0039|NOTE-BEI-0040|NOTE-BEI-0041|NOTE-BEI-0042|NOTE-BEI-0043|NOTE-BEI-0044|NOTE-BEI-0045|NOTE-BEI-0046|NOTE-BEI-0047|NOTE-BEI-0048|NOTE-BEI-0049|NOTE-BEI-0050|NOTE-BEI-0051|NOTE-BEI-0052|NOTE-BEI-0053|NOTE-BEI-0056|NOTE-BEI-0057|NOTE-BEI-0058|NOTE-BEI-0059|NOTE-BEI-0060|NOTE-BEI-0061|NOTE-BEI-0062|NOTE-BEI-0063|NOTE-BEI-0064|NOTE-BEI-0065|NOTE-BEI-0066|NOTE-BEI-0067|NOTE-BEI-0068|NOTE-BEI-0069|NOTE-BEI-0070|NOTE-BEI-0071|NOTE-BEI-0072|NOTE-BEI-0073|NOTE-BEI-0074,,https://eos-beijing-2.cmecloud.cn/app-dtstatic/10%E5%8F%B7%E7%BA%BF-%E5%B7%B4%E6%B2%9F%E7%AB%99-%E7%81%AB%E5%99%A8%E8%90%A5%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg | https://eos-beijing-2.cmecloud.cn/app-dtstatic/10%E5%8F%B7%E7%BA%BF-%E7%81%AB%E5%99%A8%E8%90%A5%E7%AB%99-%E5%B7%B4%E6%B2%9F%E7%AB%99%E6%96%B9%E5%90%91-%E5%B7%A5%E4%BD%9C%E6%97%A5.jpg,2
