city,new_n,new_t_M,new_gamma,new_theta,new_R2,new_d30,new_tau5,new_tau50,new_tau95,old_n,old_t_M,old_gamma,old_theta,old_R2,old_d30,old_tau5,old_tau50,old_tau95
Beijing,401,239,13.08,0.338,0.9989,0.03,0.129,0.34,0.564,416.0,239.0,12.37,0.35,0.999,0.03,0.13,0.35,0.59
Busan,127,129,9.33,0.371,0.9997,0.183,0.107,0.377,0.684,126.0,129.0,9.33,0.37,1.0,0.18,0.11,0.38,0.68
Changchun,111,110,9.69,0.383,0.9976,0.218,0.12,0.387,0.684,110.0,110.0,9.69,0.38,0.998,0.22,0.12,0.39,0.68
Changsha,141,103,9.43,0.455,0.9998,0.159,0.168,0.457,0.757,140.0,103.0,9.43,0.46,1.0,0.16,0.17,0.46,0.76
Changzhou,43,71,5.94,0.483,0.9974,0.399,0.111,0.486,0.874,42.0,71.0,5.94,0.48,0.997,0.4,0.11,0.49,0.87
Chengdu,324,166,12.45,0.323,0.9991,0.106,0.111,0.326,0.56,323.0,166.0,12.45,0.32,0.999,0.11,0.11,0.33,0.56
Chongqing,270,194,9.96,0.303,0.998,0.115,0.076,0.312,0.602,269.0,194.0,9.96,0.3,0.998,0.11,0.08,0.31,0.6
Daegu,88,65,7.13,0.549,0.9969,0.337,0.179,0.544,0.881,90.0,77.0,8.57,0.47,0.998,0.32,0.16,0.47,0.79
Dalian,100,265,6.5,0.204,0.9962,0.144,0.034,0.268,0.675,99.0,265.0,6.5,0.2,0.996,0.14,0.03,0.27,0.68
Dongguan,15,57,8.65,0.521,0.9913,0.543,0.202,0.52,0.831,14.0,57.0,8.65,0.52,0.991,0.54,0.21,0.53,0.82
Foshan,56,93,6.67,0.439,0.999,0.288,0.105,0.447,0.828,63.0,114.0,7.36,0.39,0.999,0.25,0.09,0.39,0.76
Fukuoka,36,74,4.95,0.4,0.996,0.462,0.069,0.429,0.867,35.0,74.0,4.95,0.4,0.996,0.46,0.07,0.43,0.86
Fuzhou,93,143,10.69,0.371,0.9991,0.134,0.126,0.375,0.646,92.0,143.0,10.69,0.37,0.999,0.13,0.13,0.38,0.64
Guangzhou,292,183,9.83,0.324,0.9987,0.113,0.086,0.332,0.625,308.0,183.0,9.55,0.34,0.999,0.1,0.09,0.34,0.64
Guiyang,93,120,8.75,0.41,0.9997,0.172,0.123,0.415,0.737,92.0,120.0,8.75,0.41,1.0,0.17,0.12,0.42,0.73
Hangzhou,258,158,10.4,0.344,0.9991,0.125,0.103,0.349,0.628,257.0,158.0,10.4,0.34,0.999,0.12,0.1,0.35,0.63
Harbin,73,79,9.74,0.426,0.9993,0.368,0.151,0.428,0.722,72.0,79.0,9.74,0.43,0.999,0.37,0.15,0.43,0.72
Hefei,172,115,7.41,0.46,0.9919,0.138,0.13,0.464,0.819,171.0,115.0,7.41,0.46,0.992,0.14,0.13,0.46,0.82
